Original Institue Holdout and Pre-HoldOut,,,,,,,,,,,,,,,,,,,,
split_no,accuracy,f1,precision,recall,balanced_accuracy,roc_auc,,,,,,,,,,,,,,
Institute Hold-Out,0.812,0.842,0.8,0.889,0.802,0.841,,,,,,,,,,,,,,
Pre-Hold Out,0.9,0.889,1,0.8,0.9,0.92,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Repeat Institute Hold,,,,,,,,,,,,,,,,,,,,
Type ->,Holdout Institutes,ROC_AUC,Accuracy,F1,FPR,TPR,tp,tn,fp,fn,Type ->,ROC_AUC,Accuracy,F1,FPR,TPR,tp,tn,fp,fn
InstituteHold,22,0.885714286,0.75,0.666666667,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 1.0]","[0.0, 0.2, 0.4, 0.4, 0.8, 0.8, 1.0, 1.0]",3,6,1,2,PreHold,0.619047619,0.5,0.545454545,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[0.0, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.8571428571428571, 0.8571428571428571, 1.0]",3,2,1,4
InstituteHold,23,1,1,1,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.14285714285714285, 1.0, 1.0]",7,5,0,0,PreHold,0.8,0.6,0.5,"[0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 1.0]","[0.0, 0.2, 0.2, 0.8, 0.8, 1.0, 1.0]",2,4,1,3
InstituteHold,24,0.854166667,0.785714286,0.823529412,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.125, 0.5, 0.5, 0.875, 0.875, 1.0, 1.0]",7,4,2,1,PreHold,0.666666667,0.6,0.5,"[0.0, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",2,4,3,1
InstituteHold,25,0.892857143,0.866666667,0.875,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.125, 0.625, 0.625, 0.875, 0.875, 1.0, 1.0]",7,6,1,1,PreHold,0.52,0.6,0.5,"[0.0, 0.0, 0.2, 0.2, 0.6, 0.6, 0.8, 0.8, 1.0]","[0.0, 0.2, 0.2, 0.4, 0.4, 0.6, 0.6, 1.0, 1.0]",2,4,1,3
InstituteHold,26,0.888888889,0.833333333,0.833333333,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 1.0]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",5,5,1,1,PreHold,0.583333333,0.6,0.5,"[0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 1.0, 1.0]","[0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0]",2,4,2,2
InstituteHold,27,0.972222222,0.833333333,0.833333333,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",5,5,1,1,PreHold,0.791666667,0.5,0.444444444,"[0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0]","[0.0, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",2,3,1,4
InstituteHold,28,1,0.928571429,0.933333333,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.125, 1.0, 1.0]",7,6,0,1,PreHold,0.380952381,0.5,0,"[0.0, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.8571428571428571, 0.8571428571428571, 1.0]","[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",0,5,2,3
InstituteHold,29,0.981481481,0.933333333,0.947368421,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.1111111111111111, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",9,5,1,0,PreHold,0.75,0.7,0.571428571,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.25, 0.5, 0.5, 1.0, 1.0]",2,5,1,2
InstituteHold,30,0.888888889,0.875,0.888888889,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 1.0]","[0.0, 0.1111111111111111, 0.6666666666666666, 0.6666666666666666, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",8,6,1,1,PreHold,0.666666667,0.6,0.6,"[0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0, 1.0]","[0.0, 0.25, 0.25, 0.75, 0.75, 1.0]",3,3,3,1
InstituteHold,31,0.796296296,0.733333333,0.777777778,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0]",7,4,2,2,PreHold,0.333333333,0.5,0.285714286,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0]","[0.0, 0.0, 0.25, 0.25, 1.0, 1.0]",1,4,2,3
InstituteHold,32,0.833333333,0.857142857,0.875,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.125, 0.375, 0.375, 0.875, 0.875, 1.0, 1.0]",7,5,1,1,PreHold,0.84,0.8,0.833333333,"[0.0, 0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 1.0]","[0.0, 0.2, 0.4, 0.4, 0.8, 0.8, 1.0, 1.0]",5,3,2,0
InstituteHold,34,0.875,0.8,0.823529412,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.125, 0.5, 0.5, 0.875, 0.875, 1.0, 1.0]",7,5,2,1,PreHold,0.916666667,0.9,0.909090909,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",5,4,0,1
InstituteHold,35,0.95,0.769230769,0.823529412,"[0.0, 0.0, 0.0, 0.4, 0.4, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]",7,3,2,1,PreHold,0.625,0.5,0.444444444,"[0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.25, 0.25, 1.0, 1.0]",2,3,3,2
InstituteHold,36,0.875,0.785714286,0.823529412,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 1.0]","[0.0, 0.125, 0.5, 0.5, 0.875, 0.875, 1.0, 1.0]",7,4,2,1,PreHold,1,0.9,0.909090909,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.2, 1.0, 1.0]",5,4,1,0
