Level,Type,Holdout Repeat,Visit,ROC_AUC,Accuracy,F1,FPR,TPR,Thresholds,tp,tn,fp,fn
sample,Institute,53,Day 0,0.8571428571428572,0.6666666666666666,0.7142857142857143,"[0.0, 0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 1.0]","[0.0, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 1.0, 1.0]","[inf, 0.9890241026878357, 0.8588120937347412, 0.7138203978538513, 0.5881706476211548, 0.5673364400863647, 0.2981712222099304, 0.008014671504497528]",5,3,2,2
sample,Institute,53,Adj Wk 1,0.9,0.8888888888888888,0.8888888888888888,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9984943270683289, 0.5526509881019592, 0.1774410456418991, 0.10512543469667435, 0.004993364214897156]",4,4,0,1
sample,Institute,53,Overall,0.8947368421052632,0.7647058823529411,0.7894736842105263,"[0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 0.26666666666666666, 0.26666666666666666, 0.4, 0.4, 0.6, 0.6, 1.0]","[0.0, 0.05263157894736842, 0.631578947368421, 0.631578947368421, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 1.0]","[inf, 0.9988238215446472, 0.7432184219360352, 0.6780935525894165, 0.5881706476211548, 0.5673364400863647, 0.5526509881019592, 0.5476904511451721, 0.3868882656097412, 0.3386768102645874, 0.2981712222099304, 0.12870261073112488, 0.10512543469667435, 0.0032517951913177967]",15,11,4,4
sample,Institute,54,Screen,0.9583333333333334,0.8571428571428571,0.8888888888888888,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.125, 0.875, 0.875, 1.0, 1.0]","[inf, 0.9966859221458435, 0.9312684535980225, 0.839847981929779, 0.6634316444396973, 0.0022218667436391115]",8,4,2,0
sample,Institute,54,Day 0,0.875,0.7692307692307693,0.8235294117647058,"[0.0, 0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 1.0]","[0.0, 0.125, 0.5, 0.5, 0.875, 0.875, 1.0, 1.0]","[inf, 0.998004138469696, 0.9651095867156982, 0.9624737501144409, 0.8988231420516968, 0.8518070578575134, 0.12371881306171417, 0.005045490805059671]",7,3,2,1
sample,Institute,54,Adj Wk 1,1.0,0.875,0.8888888888888888,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.2, 1.0, 1.0]","[inf, 0.999133288860321, 0.08611197769641876, 0.004191586282104254]",4,3,0,1
sample,Institute,54,Overall,0.9251700680272108,0.8285714285714286,0.8636363636363636,"[0.0, 0.0, 0.0, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.35714285714285715, 0.35714285714285715, 1.0]","[0.0, 0.047619047619047616, 0.5238095238095238, 0.5238095238095238, 0.7619047619047619, 0.7619047619047619, 0.8571428571428571, 0.8571428571428571, 0.9523809523809523, 0.9523809523809523, 1.0, 1.0]","[inf, 0.999133288860321, 0.9651095867156982, 0.9624737501144409, 0.9139816164970398, 0.9087943434715271, 0.871931791305542, 0.839847981929779, 0.12371881306171417, 0.10877394676208496, 0.08611197769641876, 0.0022218667436391115]",19,10,4,2
sample,Institute,55,Screen,1.0,0.8333333333333334,0.8571428571428571,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.16666666666666666, 1.0, 1.0]","[inf, 0.9979262948036194, 0.89690101146698, 0.0031200547236949205]",6,4,2,0
sample,Institute,55,Day 0,0.9,0.7272727272727273,0.7692307692307693,"[0.0, 0.0, 0.0, 0.6, 0.6, 1.0]","[0.0, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]","[inf, 0.9848554134368896, 0.9237322807312012, 0.41094499826431274, 0.29357779026031494, 0.003131216624751687]",5,3,2,1
sample,Institute,55,Adj Wk 1,0.875,0.875,0.8571428571428571,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.25, 0.75, 0.75, 1.0, 1.0]","[inf, 0.9997437000274658, 0.897649347782135, 0.21556256711483002, 0.16137489676475525, 0.0030034701339900494]",3,4,0,1
sample,Institute,55,Overall,0.95,0.8064516129032258,0.8235294117647058,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.4666666666666667, 0.4666666666666667, 1.0]","[0.0, 0.0625, 0.875, 0.875, 0.9375, 0.9375, 1.0, 1.0]","[inf, 0.9997437000274658, 0.89690101146698, 0.41094499826431274, 0.29357779026031494, 0.21556256711483002, 0.16137489676475525, 0.0030034701339900494]",14,11,4,2
sample,Institute,56,Screen,0.9285714285714286,0.9230769230769231,0.9333333333333333,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 1.0]","[0.0, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0, 1.0]","[inf, 0.999832272529602, 0.9898791313171387, 0.9890881776809692, 0.5756688714027405, 0.00015650058048777282]",7,5,1,0
sample,Institute,56,Day 0,0.9,0.9090909090909091,0.9230769230769231,"[0.0, 0.0, 0.0, 0.2, 0.2, 1.0]","[0.0, 0.16666666666666666, 0.5, 0.5, 1.0, 1.0]","[inf, 0.9984762072563171, 0.9864989519119263, 0.9668642282485962, 0.8077899217605591, 0.0034022938925772905]",6,4,1,0
sample,Institute,56,Adj Wk 1,1.0,1.0,1.0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.25, 1.0, 1.0]","[inf, 0.9997488856315613, 0.9056625962257385, 0.0006608119583688676]",4,4,0,0
sample,Institute,56,Overall,0.9411764705882353,0.9375,0.9444444444444444,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 1.0]","[0.0, 0.058823529411764705, 0.5294117647058824, 0.5294117647058824, 0.5882352941176471, 0.5882352941176471, 1.0, 1.0]","[inf, 0.999832272529602, 0.9898791313171387, 0.9890881776809692, 0.9864989519119263, 0.9668642282485962, 0.5756688714027405, 0.00015650058048777282]",17,13,2,0
sample,Institute,57,Screen,0.75,0.6666666666666666,0.7142857142857143,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.16666666666666666, 0.5, 0.5, 1.0, 1.0]","[inf, 0.9982699155807495, 0.9559853076934814, 0.8070420622825623, 0.41554540395736694, 0.003974963445216417]",5,3,3,1
sample,Institute,57,Day 0,0.8611111111111112,0.8333333333333334,0.8333333333333334,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 1.0]","[0.0, 0.16666666666666666, 0.5, 0.5, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]","[inf, 0.9581054449081421, 0.8971238136291504, 0.8495301604270935, 0.6643131971359253, 0.40821120142936707, 0.11311354488134384, 0.004441177938133478]",5,5,1,1
sample,Institute,57,Adj Wk 1,0.8666666666666667,0.75,0.8,"[0.0, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9993276596069336, 0.8878991007804871, 0.1316177248954773, 0.029391959309577942, 0.01619810052216053]",4,2,1,1
sample,Institute,57,Overall,0.8352941176470589,0.75,0.7777777777777778,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.2, 0.2, 0.26666666666666666, 0.26666666666666666, 0.3333333333333333, 0.3333333333333333, 0.4, 0.4, 0.5333333333333333, 0.5333333333333333, 1.0]","[0.0, 0.058823529411764705, 0.4117647058823529, 0.4117647058823529, 0.5882352941176471, 0.5882352941176471, 0.6470588235294118, 0.6470588235294118, 0.7058823529411765, 0.7058823529411765, 0.8235294117647058, 0.8235294117647058, 0.8823529411764706, 0.8823529411764706, 1.0, 1.0]","[inf, 0.9993276596069336, 0.9559853076934814, 0.9443114995956421, 0.8878991007804871, 0.8495301604270935, 0.839169979095459, 0.8070420622825623, 0.767783522605896, 0.7028079032897949, 0.6363347172737122, 0.4575117528438568, 0.41554540395736694, 0.1316177248954773, 0.029391959309577942, 0.003974963445216417]",14,10,5,3
sample,Institute,58,Screen,0.9714285714285715,0.75,0.7692307692307693,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9948519468307495, 0.9183080196380615, 0.7714946269989014, 0.7364818453788757, 0.0011507554445415735]",5,4,3,0
sample,Institute,58,Day 0,0.8666666666666667,0.8181818181818182,0.8,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 1.0]","[0.0, 0.2, 0.6, 0.6, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9816417098045349, 0.9497143030166626, 0.9345638155937195, 0.6215452551841736, 0.2783976197242737, 0.15947312116622925, 0.003516929689794779]",4,5,1,1
sample,Institute,58,Adj Wk 1,0.9,0.7777777777777778,0.8,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9997481107711792, 0.8878846764564514, 0.3887059688568115, 0.16856756806373596, 0.0011465033749118447]",4,3,1,1
sample,Institute,58,Overall,0.9058823529411765,0.78125,0.7878787878787878,"[0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.23529411764705882, 0.23529411764705882, 0.47058823529411764, 0.47058823529411764, 1.0]","[0.0, 0.06666666666666667, 0.6, 0.6, 0.7333333333333333, 0.7333333333333333, 0.8, 0.8, 0.8666666666666667, 0.8666666666666667, 1.0, 1.0]","[inf, 0.9997481107711792, 0.9451898336410522, 0.9345638155937195, 0.8878846764564514, 0.7714946269989014, 0.7364818453788757, 0.651793897151947, 0.6215452551841736, 0.2783976197242737, 0.15947312116622925, 0.0011465033749118447]",13,12,5,2
sample,Institute,59,Screen,1.0,0.8333333333333334,0.8333333333333334,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.2, 1.0, 1.0]","[inf, 0.9977145195007324, 0.8273397088050842, 0.004287765361368656]",5,5,2,0
sample,Institute,59,Day 0,0.888888888888889,0.75,0.7692307692307693,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[inf, 0.9987015724182129, 0.9010513424873352, 0.630212128162384, 0.18747039139270782, 0.0025014462880790234]",5,4,2,1
sample,Institute,59,Adj Wk 1,0.875,0.8333333333333334,0.6666666666666666,"[0.0, 0.0, 0.25, 0.25, 1.0]","[0.0, 0.5, 0.5, 1.0, 1.0]","[inf, 0.9086434245109558, 0.16999858617782593, 0.14837799966335297, 0.00405094213783741]",1,4,0,1
sample,Institute,59,Overall,0.9411764705882353,0.8,0.7857142857142857,"[0.0, 0.0, 0.0, 0.11764705882352941, 0.11764705882352941, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 1.0]","[0.0, 0.07692307692307693, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 1.0, 1.0]","[inf, 0.9987015724182129, 0.8273397088050842, 0.630212128162384, 0.5684186816215515, 0.4084335267543793, 0.18747039139270782, 0.16999858617782593, 0.14837799966335297, 0.0025014462880790234]",11,13,4,2
sample,Institute,60,Screen,0.8571428571428571,0.75,0.7692307692307693,"[0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 1.0]","[0.0, 0.2, 0.4, 0.4, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9789451360702515, 0.9655553102493286, 0.8204985857009888, 0.7334751486778259, 0.6013064980506897, 0.5496399998664856, 0.006567005068063736]",5,4,3,0
sample,Institute,60,Day 0,0.8,0.6363636363636364,0.6,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.2, 0.4, 0.4, 1.0, 1.0]","[inf, 0.9943124651908875, 0.9373351335525513, 0.8073946237564087, 0.27757230401039124, 0.009221539832651615]",3,4,2,2
sample,Institute,60,Adj Wk 1,0.9,0.7777777777777778,0.8,"[0.0, 0.0, 0.0, 0.5, 0.5, 1.0]","[0.0, 0.2, 0.8, 0.8, 1.0, 1.0]","[inf, 0.9973106384277344, 0.742529571056366, 0.3548940122127533, 0.14432132244110107, 0.011943372897803783]",4,3,1,1
